Time	Coop	Chea
0.000000	0.200000	0.200000
0.050025	0.220124	0.215136
0.100050	0.242184	0.231805
0.150075	0.266346	0.250129
0.200100	0.292788	0.270237
0.250125	0.321698	0.292268
0.300150	0.353275	0.316366
0.350175	0.387725	0.342685
0.400200	0.425265	0.371384
0.450225	0.466117	0.402628
0.500250	0.510509	0.436586
0.550275	0.558672	0.473430
0.600300	0.610838	0.513333
0.650325	0.667236	0.556463
0.700350	0.728087	0.602987
0.750375	0.793602	0.653062
0.800400	0.863975	0.706832
0.850425	0.939380	0.764424
0.900450	1.019962	0.825948
0.950475	1.105831	0.891484
1.000500	1.197059	0.961082
1.050525	1.293668	1.034760
1.100550	1.395628	1.112490
1.150575	1.502850	1.194203
1.200600	1.615180	1.279781
1.250625	1.732398	1.369055
1.300650	1.854212	1.461801
1.350675	1.980260	1.557745
1.400700	2.110114	1.656560
1.450725	2.243277	1.757868
1.500750	2.379196	1.861248
1.550775	2.517267	1.966243
1.600800	2.656844	2.072362
1.650825	2.797253	2.179094
1.700850	2.937802	2.285914
1.750875	3.077798	2.392297
1.800900	3.216559	2.497727
1.850925	3.353427	2.601703
1.900950	3.487778	2.703756
1.950975	3.619039	2.803450
2.001001	3.746688	2.900390
2.051026	3.870270	2.994234
2.101051	3.989396	3.084685
2.151076	4.103745	3.171502
2.201101	4.213070	3.254499
2.251126	4.317189	3.333539
2.301151	4.415989	3.408536
2.351176	4.509415	3.479449
2.401201	4.597470	3.546283
2.451226	4.680206	3.609077
2.501251	4.757719	3.667904
2.551276	4.830139	3.722864
2.601301	4.897631	3.774082
2.651326	4.960379	3.821699
2.701351	5.018589	3.865870
2.751376	5.072478	3.906762
2.801401	5.122273	3.944546
2.851426	5.168203	3.979397
2.901451	5.210501	4.011491
2.951476	5.249396	4.041002
3.001501	5.285112	4.068102
3.051526	5.317869	4.092955
3.101551	5.347876	4.115721
3.151576	5.375335	4.136555
3.201601	5.400439	4.155602
3.251626	5.423370	4.172999
3.301651	5.444297	4.188876
3.351676	5.463384	4.203357
3.401701	5.480779	4.216554
3.451726	5.496622	4.228574
3.501751	5.511045	4.239516
3.551776	5.524168	4.249472
3.601801	5.536103	4.258526
3.651826	5.546952	4.266757
3.701851	5.556810	4.274236
3.751876	5.565766	4.281030
3.801901	5.573898	4.287200
3.851926	5.581282	4.292801
3.901951	5.587983	4.297884
3.951976	5.594063	4.302497
4.002001	0.559406	0.430250
4.052026	0.611900	0.470070
4.102051	0.668677	0.513131
4.152076	0.729964	0.559604
4.202101	0.795976	0.609654
4.252126	0.866913	0.663429
4.302151	0.942953	0.721065
4.352176	1.024245	0.782675
4.402201	1.110904	0.848344
4.452226	1.203001	0.918127
4.502251	1.300564	0.992044
4.552276	1.403561	1.070072
4.602301	1.511903	1.152142
4.652326	1.625434	1.238136
4.702351	1.743928	1.327883
4.752376	1.867089	1.421159
4.802401	1.994548	1.517684
4.852426	2.125864	1.617126
4.902451	2.260533	1.719100
4.952476	2.397987	1.823180
5.002501	2.537609	1.928896
5.052526	2.678739	2.035750
5.102551	2.820687	2.143220
5.152576	2.962749	2.250772
5.202601	3.104217	2.357872
5.252626	3.244395	2.463992
5.302651	3.382612	2.568625
5.352676	3.518236	2.671293
5.402701	3.650683	2.771554
5.452726	3.779427	2.869010
5.502751	3.904007	2.963313
5.552776	4.024031	3.054165
5.602801	4.139179	3.141325
5.652826	4.249202	3.224605
5.702851	4.353924	3.303871
5.752876	4.453234	3.379040
5.802901	4.547083	3.450074
5.852926	4.635479	3.516981
5.902951	4.718480	3.579805
5.952976	4.796190	3.638622
6.003002	4.868746	3.693539
6.053027	4.936318	3.744683
6.103052	4.999099	3.792200
6.153077	5.057300	3.836250
6.203102	5.111144	3.877003
6.253127	5.160864	3.914635
6.303152	5.206695	3.949323
6.353177	5.248874	3.981246
6.403202	5.287633	4.010581
6.453227	5.323202	4.037501
6.503252	5.355802	4.062175
6.553277	5.385646	4.084763
6.603302	5.412940	4.105420
6.653327	5.437877	4.124294
6.703352	5.460641	4.141522
6.753377	5.481404	4.157237
6.803402	5.500328	4.171559
6.853427	5.517565	4.184605
6.903452	5.533256	4.196480
6.953477	5.547531	4.207284
7.003502	5.560511	4.217109
7.053527	5.572310	4.226038
7.103552	5.583029	4.234151
7.153577	5.592764	4.241519
7.203602	5.601602	4.248208
7.253627	5.609624	4.254279
7.303652	5.616903	4.259788
7.353677	5.623505	4.264785
7.403702	5.629492	4.269316
7.453727	5.634921	4.273425
7.503752	5.639843	4.277150
7.553777	5.644304	4.280526
7.603802	5.648346	4.283586
7.653827	5.652009	4.286358
7.703852	5.655328	4.288870
7.753877	5.658334	4.291145
7.803902	5.661057	4.293206
7.853927	5.663524	4.295073
7.903952	5.665757	4.296763
7.953977	5.667780	4.298294
8.004002	0.566778	0.429829
8.054027	0.619917	0.470046
8.104052	0.677380	0.513534
8.154077	0.739393	0.560464
8.204102	0.806170	0.610999
8.254127	0.877909	0.665287
8.304152	0.954784	0.723460
8.354177	1.036941	0.785629
8.404202	1.124489	0.851877
8.454227	1.217495	0.922253
8.504252	1.315978	0.996773
8.554277	1.419899	1.075406
8.604302	1.529159	1.158078
8.654327	1.643591	1.244663
8.704352	1.762961	1.334982
8.754377	1.886960	1.428803
8.804402	2.015206	1.525837
8.854427	2.147251	1.625744
8.904452	2.282576	1.728133
8.954477	2.420607	1.832567
9.004502	2.560715	1.938573
9.054527	2.702235	2.045646
9.104552	2.844472	2.153261
9.154577	2.986716	2.260882
9.204602	3.128260	2.367972
9.254627	3.268408	2.474005
9.304652	3.406493	2.578477
9.354677	3.541887	2.680913
9.404702	3.674013	2.780875
9.454727	3.802351	2.877972
9.504752	3.926451	2.971862
9.554777	4.045930	3.062256
9.604802	4.160479	3.148920
9.654827	4.269859	3.231673
9.704852	4.373903	3.310389
9.754877	4.472511	3.384992
9.804902	4.565642	3.455451
9.854927	4.653315	3.521781
9.904952	4.735594	3.584030
9.954977	4.812589	3.642281
10.005003	4.884444	3.696643
10.055028	4.951332	3.747248
10.105053	5.013452	3.794245
10.155078	5.071017	3.837796
10.205103	5.124253	3.878072
10.255128	5.173393	3.915249
10.305153	5.218675	3.949508
10.355178	5.260335	3.981025
10.405203	5.298606	4.009980
10.455228	5.333717	4.036543
10.505253	5.365889	4.060883
10.555278	5.395335	4.083160
10.605303	5.422257	4.103528
10.655328	5.446849	4.122133
10.705353	5.469293	4.139113
10.755378	5.489761	4.154598
10.805403	5.508412	4.168709
10.855428	5.525398	4.181559
10.905453	5.540857	4.193255
10.955478	5.554919	4.203893
11.005503	5.567704	4.213566
11.055528	5.579323	4.222356
11.105553	5.589878	4.230342
11.155578	5.599462	4.237593
11.205603	5.608163	4.244175
11.255628	5.616058	4.250148
11.305653	5.623221	4.255567
11.355678	5.629718	4.260483
11.405703	5.635609	4.264940
11.455728	5.640951	4.268981
11.505753	5.645792	4.272643
11.555778	5.650180	4.275963
11.605803	5.654156	4.278971
11.655828	5.657758	4.281696
11.705853	5.661021	4.284165
11.755878	5.663977	4.286401
11.805903	5.666654	4.288427
11.855928	5.669079	4.290261
11.905953	5.671274	4.291922
11.955978	5.673262	4.293426
12.006003	0.567326	0.429343
12.056028	0.620516	0.469583
12.106053	0.678033	0.513098
