time	N1	N2
0.000000	1.000000	1.000000
0.400000	1.001243	0.999573
0.800000	2.270273	7.458129
1.200000	4.054420	31.312234
1.600000	6.384029	37.940385
2.000000	10.118663	38.245031
2.400000	14.903796	38.271191
2.800000	19.369800	38.288775
3.200000	22.422443	38.306712
3.600000	24.066346	38.325316
4.000000	24.833742	38.344619
4.400000	5.297532	7.968667
4.800000	8.593940	25.411989
5.200000	11.569960	43.692903
5.600000	14.397529	47.207826
6.000000	17.417937	47.424670
6.400000	20.347948	47.484773
6.800000	22.692986	47.538845
7.200000	24.180670	47.593836
7.600000	24.955504	47.650263
8.000000	25.312076	47.708212
8.400000	4.026848	7.762815
8.800000	6.603909	25.553407
9.200000	8.847497	44.401862
9.600000	11.025277	48.006007
10.000000	13.542045	48.229806
10.400000	16.147605	48.298783
10.800000	18.317489	48.362704
11.200000	19.722338	48.427945
11.600000	20.460899	48.494929
12.000000	20.802156	48.563729
12.400000	3.004866	7.756264
12.800000	5.038715	24.111177
13.200000	6.874683	42.543642
13.600000	8.717065	46.119425
14.000000	10.953784	46.348637
14.400000	13.358065	46.428095
14.800000	15.405281	46.503414
15.200000	16.745622	46.580485
15.600000	17.453875	46.659671
16.000000	17.781849	46.741041
16.400000	2.420908	7.376748
16.800000	4.159753	21.512566
17.200000	5.811141	39.047399
17.600000	7.514361	42.550877
18.000000	9.636817	42.787438
18.400000	11.958006	42.878684
18.800000	13.952804	42.966408
19.200000	15.264526	43.056265
19.600000	15.958984	43.148603
20.000000	16.280832	43.243494
20.400000	2.108669	6.683151
20.800000	3.705520	19.003073
21.200000	5.292379	35.716634
21.600000	6.964687	39.155652
22.000000	9.074278	39.393386
22.400000	11.396792	39.489102
22.800000	13.399180	39.581659
23.200000	14.717828	39.676544
23.600000	15.416402	39.774092
24.000000	15.740246	39.874379
24.400000	2.014791	6.040004
24.800000	3.593978	17.191829
25.200000	5.224419	33.279196
25.600000	6.972117	36.661207
26.000000	9.167441	36.895409
26.400000	11.568377	36.990017
26.800000	13.628658	37.081621
27.200000	14.981949	37.175590
27.600000	15.698006	37.272250
28.000000	16.029779	37.371679
28.400000	2.051722	5.530877
28.800000	3.692399	16.113878
29.200000	5.433060	31.904848
29.600000	7.319642	35.262484
30.000000	9.661134	35.491628
30.400000	12.190614	35.582043
30.800000	14.344049	35.669441
31.200000	15.752612	35.759126
31.600000	16.496452	35.851417
32.000000	16.840802	35.946393
32.400000	2.194396	5.172048
32.800000	3.966558	15.532399
33.200000	5.904144	31.260663
33.600000	8.037771	34.626886
34.000000	10.645442	34.851581
34.400000	13.412427	34.936749
34.800000	15.738652	35.018756
35.200000	17.249748	35.102915
35.600000	18.045112	35.189545
36.000000	18.412781	35.278721
36.400000	2.470009	4.913012
36.800000	4.465112	15.264981
37.200000	6.693414	31.053095
37.600000	9.158498	34.433147
38.000000	12.097503	34.654136
38.400000	15.142944	34.734243
38.800000	17.663249	34.810945
39.200000	19.286545	34.889638
39.600000	20.137535	34.970650
40.000000	20.530223	35.054057
40.400000	2.812996	4.774713
40.800000	5.063889	15.292879
41.200000	7.617900	31.226619
41.600000	10.456038	34.629677
42.000000	13.769777	34.847428
42.400000	17.130389	34.922480
42.800000	19.870124	34.993849
43.200000	21.620136	35.067037
43.600000	22.533909	35.142377
44.000000	22.954828	35.219944
44.400000	3.245587	4.670625
44.800000	5.809368	15.471456
45.200000	8.738361	31.633900
45.600000	11.982776	35.069711
46.000000	15.682753	35.284959
46.400000	19.350528	35.355029
46.800000	22.294280	35.421078
47.200000	24.158427	35.488761
47.600000	25.127773	35.558425
48.000000	25.573475	35.630141
48.400000	3.777479	4.647685
48.800000	6.685487	15.978059
49.200000	9.991389	32.431377
49.600000	13.623049	35.892338
50.000000	17.678363	36.104629
50.400000	21.621941	36.169340
50.800000	24.746278	36.229627
51.200000	26.710730	36.291337
51.600000	27.728759	36.354836
52.000000	28.196143	36.420198
52.400000	4.328244	4.751568
52.800000	7.564627	16.938153
53.200000	11.165338	33.816473
53.600000	15.049641	37.315685
54.000000	19.299649	37.525950
54.400000	23.363345	37.585346
54.800000	26.546886	37.639852
55.200000	28.536224	37.695566
55.600000	29.564092	37.752880
56.000000	30.035372	37.811868
56.400000	4.692833	4.962740
56.800000	8.108912	18.190733
57.200000	11.784138	35.630761
57.600000	15.659574	39.191913
58.000000	19.851081	39.402882
58.400000	23.834341	39.458886
58.800000	26.946354	39.509559
59.200000	28.889010	39.561280
59.600000	29.892399	39.614471
60.000000	30.352395	39.669208
60.400000	4.782235	5.369005
60.800000	8.167584	19.734447
61.200000	11.663391	37.698266
61.600000	15.278237	41.298497
62.000000	19.195141	41.510832
62.400000	22.944435	41.566165
62.800000	25.893687	41.615971
63.200000	27.742774	41.666767
63.600000	28.699962	41.718991
64.000000	29.139223	41.772721
64.400000	4.541434	5.847159
64.800000	7.705650	21.076904
65.200000	10.856681	39.438173
65.600000	14.067148	43.074968
66.000000	17.590405	43.290708
66.400000	21.019858	43.348412
66.800000	23.752605	43.400632
67.200000	25.478979	43.453907
67.600000	26.375985	43.508676
68.000000	26.788314	43.565013
68.400000	4.105684	6.315844
68.800000	6.949129	22.024579
69.200000	9.712107	40.554922
69.600000	12.517845	44.195011
70.000000	15.668356	44.413802
70.400000	18.808620	44.476302
70.800000	21.352694	44.533705
71.200000	22.974618	44.592342
71.600000	23.821026	44.652618
72.000000	24.210842	44.714605
72.400000	3.612799	6.614103
72.800000	6.133169	22.058128
73.200000	8.561615	40.448808
73.600000	11.031968	44.071525
74.000000	13.872392	44.295356
74.400000	16.768578	44.365044
74.800000	19.150760	44.430005
75.200000	20.681955	44.496424
75.600000	21.484110	44.564694
76.000000	21.854173	44.634889
76.400000	3.195566	6.661165
76.800000	5.466897	21.430554
77.200000	7.670507	39.541553
77.600000	9.932349	43.139168
78.000000	12.588463	43.366664
78.400000	15.344637	43.442315
78.800000	17.636280	43.513610
79.200000	19.117477	43.586566
79.600000	19.895423	43.661559
80.000000	20.254713	43.738664
80.400000	2.872046	6.529599
80.800000	4.959833	20.398468
81.200000	7.018326	38.069587
81.600000	9.156293	41.625278
82.000000	11.707582	41.855126
82.400000	14.388545	41.935769
82.800000	16.635147	42.012383
83.200000	18.093248	42.090834
83.600000	18.860556	42.171487
84.000000	19.215238	42.254418
84.400000	2.686294	6.260513
84.800000	4.686631	19.288340
85.200000	6.696219	36.574053
85.600000	8.801535	40.099540
86.000000	11.330694	40.330260
86.400000	14.000507	40.413420
86.800000	16.243240	40.492746
87.200000	17.700491	40.574015
87.600000	18.467735	40.657584
88.000000	18.822462	40.743531
88.400000	2.606294	5.925900
88.800000	4.596739	18.328776
89.200000	6.645224	35.326174
89.600000	8.818096	38.828866
90.000000	11.424608	39.057909
90.400000	14.164473	39.140511
90.800000	16.458311	39.219376
91.200000	17.945867	39.300203
91.600000	18.728322	39.383339
92.000000	19.089927	39.468862
92.400000	2.635905	5.671887
92.800000	4.666223	17.667829
93.200000	6.793410	34.487374
93.600000	9.066600	37.980986
94.000000	11.779508	38.208469
94.400000	14.613391	38.289712
94.800000	16.975181	38.367197
95.200000	18.502821	38.446613
95.600000	19.305334	38.528312
96.000000	19.675997	38.612369
96.400000	2.733886	5.423171
96.800000	4.861873	17.193966
97.200000	7.131315	33.921061
97.600000	9.576128	37.406870
98.000000	12.468543	37.631596
98.400000	15.459530	37.710083
98.800000	17.934376	37.784739
99.200000	19.528756	37.861257
99.600000	20.364735	37.939987
100.000000	20.750532	38.021004
100.400000	2.884738	5.284907
100.800000	5.124488	17.105668
101.200000	7.531704	33.921582
101.600000	10.131034	37.427124
102.000000	13.175859	37.650204
102.400000	16.291009	37.725792
102.800000	18.849302	37.797405
103.200000	20.490578	37.870793
103.600000	21.349425	37.946310
104.000000	21.745424	38.024030
104.400000	3.073524	5.220297
104.800000	5.446615	17.114686
105.200000	8.015669	33.955509
105.600000	10.788443	37.463037
106.000000	13.996867	37.684119
106.400000	17.244391	37.757188
106.800000	19.893379	37.826158
107.200000	21.586823	37.896819
107.600000	22.471511	37.969529
108.000000	22.879135	38.044362
108.400000	3.255639	5.166625
108.800000	5.753394	17.291518
109.200000	8.458638	34.281343
109.600000	11.376721	37.809079
110.000000	14.725836	38.028960
110.400000	18.086601	38.099423
110.800000	20.810744	38.165605
111.200000	22.545967	38.233384
111.600000	23.450890	38.303125
112.000000	23.867511	38.374900
112.400000	3.467064	5.164156
112.800000	6.105898	17.528740
113.200000	8.959533	34.692170
113.600000	12.026030	38.241061
114.000000	15.512518	38.460160
114.400000	18.981590	38.528192
114.800000	21.777751	38.591727
115.200000	23.553429	38.656760
115.600000	24.478112	38.723668
116.000000	24.903559	38.792524
116.400000	3.664682	5.256782
116.800000	6.406055	18.066661
117.200000	9.334927	35.437367
117.600000	12.455041	39.006407
118.000000	15.975693	39.225041
118.400000	19.460984	39.291216
118.800000	22.262381	39.352711
119.200000	24.039001	39.415621
119.600000	24.963624	39.480336
120.000000	25.388935	39.546931
120.400000	3.774027	5.392531
120.800000	6.562109	18.675524
121.200000	9.497302	36.297299
121.600000	12.597772	39.887281
122.000000	16.085942	40.106179
122.400000	19.534881	40.171439
122.800000	22.305917	40.231904
123.200000	24.063113	40.293739
123.600000	24.977615	40.357340
124.000000	25.398272	40.422782
124.400000	3.803647	5.592502
124.800000	6.577951	19.288822
125.200000	9.448494	37.069831
125.600000	12.454285	40.669419
126.000000	15.840339	40.889133
126.400000	19.201419	40.954751
126.800000	21.911313	41.015547
127.200000	23.633440	41.077714
127.600000	24.530658	41.141648
128.000000	24.943565	41.207422
128.400000	3.712731	5.772541
128.800000	6.405289	19.727240
129.200000	9.160725	37.614878
129.600000	12.035191	41.216262
130.000000	15.291539	41.436983
130.400000	18.544402	41.503867
130.800000	21.178800	41.565980
131.200000	22.857103	41.629500
131.600000	23.732525	41.694820
132.000000	24.135612	41.762016
132.400000	3.592758	5.920091
132.800000	6.196724	19.960290
133.200000	8.836449	37.877302
133.600000	11.580848	41.482367
134.000000	14.708824	41.705002
134.400000	17.853985	41.773897
134.800000	20.413018	41.838081
135.200000	22.047592	41.903727
135.600000	22.901294	41.971228
136.000000	23.294602	42.040660
136.400000	3.415974	6.019949
136.800000	5.892972	20.014839
137.200000	8.387705	37.915722
137.600000	10.979767	41.515981
138.000000	13.966866	41.740371
138.400000	17.003374	41.811756
138.800000	19.492352	41.878571
139.200000	21.088585	41.946931
139.600000	21.923848	42.017223
140.000000	22.308983	42.089524
140.400000	3.242932	6.061633
140.800000	5.611997	19.867928
141.200000	7.999897	37.644417
141.600000	10.490903	41.231445
142.000000	13.388134	41.456921
142.400000	16.356664	41.530536
142.800000	18.802613	41.599749
143.200000	20.375734	41.670586
143.600000	21.200033	41.743424
144.000000	21.580343	41.818340
144.400000	3.099463	6.027996
144.800000	5.384043	19.525657
145.200000	7.698649	37.127292
145.600000	10.120386	40.696213
146.000000	12.952636	40.922550
146.400000	15.868827	40.998213
146.800000	18.279061	41.069618
147.200000	19.831612	41.142722
147.600000	20.645695	41.217900
148.000000	21.021402	41.295226
148.400000	2.989836	5.936004
148.800000	5.215931	19.079197
149.200000	7.489474	36.542271
149.600000	9.878589	40.100158
150.000000	12.684567	40.326693
150.400000	15.583230	40.403480
150.800000	17.983921	40.476146
151.200000	19.532025	40.550571
151.600000	20.344199	40.627120
152.000000	20.719111	40.705866
152.400000	2.917042	5.817592
152.800000	5.115351	18.584057
153.200000	7.389280	35.854914
153.600000	9.799233	39.397060
154.000000	12.637389	39.623813
154.400000	15.568433	39.701378
154.800000	17.993212	39.774861
155.200000	19.555429	39.850129
155.600000	20.374589	39.927549
156.000000	20.752634	40.007194
156.400000	2.924309	5.684222
156.800000	5.139364	18.216513
157.200000	7.452779	35.373965
157.600000	9.911434	38.909120
158.000000	12.795370	39.134812
158.400000	15.762478	39.211844
158.800000	18.211441	39.284847
159.200000	19.787462	39.359634
159.600000	20.613455	39.436564
160.000000	20.994576	39.515712
160.400000	2.960872	5.539448
160.800000	5.221867	17.910181
161.200000	7.608139	35.036228
161.600000	10.158435	38.568967
162.000000	13.142947	38.793766
162.400000	16.200989	38.869712
162.800000	18.716520	38.941570
163.200000	20.332097	39.015180
163.600000	21.177962	39.090905
164.000000	21.568074	39.168818
164.400000	3.054482	5.439273
164.800000	5.391710	17.792119
165.200000	7.869671	34.899571
165.600000	10.519697	38.434596
166.000000	13.602592	38.657962
166.400000	16.743658	38.731983
166.800000	19.317752	38.801824
167.200000	20.967565	38.873361
167.600000	21.830521	38.946957
168.000000	22.228346	39.022690
168.400000	3.158152	5.373122
168.800000	5.562684	17.761661
169.200000	8.130269	34.901736
169.600000	10.886701	38.440776
170.000000	14.076378	38.662529
170.400000	17.306376	38.734678
170.800000	19.941992	38.802593
171.200000	21.627244	38.872152
171.600000	22.507744	38.943718
172.000000	22.913457	39.017366
172.400000	3.285330	5.353551
172.800000	5.779047	17.871663
173.200000	8.436982	35.061073
173.600000	11.281072	38.608784
174.000000	14.550623	38.830039
174.400000	17.843162	38.900736
174.800000	20.520056	38.967062
175.200000	22.228338	39.034972
175.600000	23.120039	39.104840
176.000000	23.530745	39.176740
176.400000	3.404985	5.366756
176.800000	5.963975	18.062537
177.200000	8.684429	35.373989
177.600000	11.585278	38.933816
178.000000	14.898728	39.154377
178.400000	18.219042	39.223868
178.800000	20.911036	39.288930
179.200000	22.626725	39.355535
179.600000	23.521796	39.424055
180.000000	23.933958	39.494566
180.400000	3.484306	5.423717
180.800000	6.097320	18.353463
181.200000	8.860502	35.776051
181.600000	11.795887	39.347217
182.000000	15.138741	39.567821
