a	b	amp
0.000000	0.000000	0.000000
0.000000	0.050000	0.000000
0.000000	0.100000	0.000000
0.000000	0.150000	0.000000
0.000000	0.200000	0.000000
0.000000	0.250000	0.000000
0.000000	0.300000	0.000000
0.000000	0.350000	0.000000
0.000000	0.400000	0.000000
0.000000	0.450000	0.000000
0.000000	0.500000	0.000000
0.000000	0.550000	0.000000
0.000000	0.600000	0.000000
0.000000	0.650000	0.000000
0.000000	0.700000	0.000000
0.000000	0.750000	0.000000
0.000000	0.800000	0.007538
0.000000	0.850000	0.006214
0.000000	0.900000	0.003337
0.000000	0.950000	0.003132
0.000000	1.000000	0.003472
0.050000	0.000000	0.000000
0.050000	0.050000	0.000000
0.050000	0.100000	0.000000
0.050000	0.150000	0.000000
0.050000	0.200000	0.000000
0.050000	0.250000	0.000000
0.050000	0.300000	0.000000
0.050000	0.350000	0.000000
0.050000	0.400000	0.000000
0.050000	0.450000	0.000000
0.050000	0.500000	0.000000
0.050000	0.550000	0.000000
0.050000	0.600000	0.000000
0.050000	0.650000	0.000000
0.050000	0.700000	0.000000
0.050000	0.750000	0.000002
0.050000	0.800000	0.012379
0.050000	0.850000	0.004842
0.050000	0.900000	0.003854
0.050000	0.950000	0.003023
0.050000	1.000000	0.003771
0.100000	0.000000	0.000000
0.100000	0.050000	0.000000
0.100000	0.100000	0.000000
0.100000	0.150000	0.000000
0.100000	0.200000	0.000000
0.100000	0.250000	0.000000
0.100000	0.300000	0.000000
0.100000	0.350000	0.000000
0.100000	0.400000	0.000000
0.100000	0.450000	0.000000
0.100000	0.500000	0.000000
0.100000	0.550000	0.000000
0.100000	0.600000	0.000000
0.100000	0.650000	0.000000
0.100000	0.700000	0.000000
0.100000	0.750000	0.000004
0.100000	0.800000	0.012781
0.100000	0.850000	0.006391
0.100000	0.900000	0.003150
0.100000	0.950000	0.003316
0.100000	1.000000	0.003609
0.150000	0.000000	0.000000
0.150000	0.050000	0.000000
0.150000	0.100000	0.000000
0.150000	0.150000	0.000000
0.150000	0.200000	0.000000
0.150000	0.250000	0.000000
0.150000	0.300000	0.000000
0.150000	0.350000	0.000000
0.150000	0.400000	0.000000
0.150000	0.450000	0.000000
0.150000	0.500000	0.000000
0.150000	0.550000	0.000000
0.150000	0.600000	0.000000
0.150000	0.650000	0.000000
0.150000	0.700000	0.000000
0.150000	0.750000	0.000049
0.150000	0.800000	0.011669
0.150000	0.850000	0.004754
0.150000	0.900000	0.003271
0.150000	0.950000	0.003022
0.150000	1.000000	0.004047
0.200000	0.000000	0.000000
0.200000	0.050000	0.000000
0.200000	0.100000	0.000000
0.200000	0.150000	0.000000
0.200000	0.200000	0.000000
0.200000	0.250000	0.000000
0.200000	0.300000	0.000000
0.200000	0.350000	0.000000
0.200000	0.400000	0.000000
0.200000	0.450000	0.000000
0.200000	0.500000	0.000000
0.200000	0.550000	0.000000
0.200000	0.600000	0.000000
0.200000	0.650000	0.000000
0.200000	0.700000	0.000000
0.200000	0.750000	0.000135
0.200000	0.800000	0.010558
0.200000	0.850000	0.004935
0.200000	0.900000	0.003143
0.200000	0.950000	0.003410
0.200000	1.000000	0.003558
0.250000	0.000000	0.000000
0.250000	0.050000	0.000000
0.250000	0.100000	0.000000
0.250000	0.150000	0.000000
0.250000	0.200000	0.000000
0.250000	0.250000	0.000000
0.250000	0.300000	0.000000
0.250000	0.350000	0.000000
0.250000	0.400000	0.000000
0.250000	0.450000	0.000000
0.250000	0.500000	0.000000
0.250000	0.550000	0.000000
0.250000	0.600000	0.000000
0.250000	0.650000	0.000000
0.250000	0.700000	0.000000
0.250000	0.750000	0.000000
0.250000	0.800000	0.010343
0.250000	0.850000	0.005004
0.250000	0.900000	0.003191
0.250000	0.950000	0.003289
0.250000	1.000000	0.003358
0.300000	0.000000	0.000000
0.300000	0.050000	0.000000
0.300000	0.100000	0.000000
0.300000	0.150000	0.000000
0.300000	0.200000	0.000000
0.300000	0.250000	0.000000
0.300000	0.300000	0.000000
0.300000	0.350000	0.000000
0.300000	0.400000	0.000000
0.300000	0.450000	0.000000
0.300000	0.500000	0.000000
0.300000	0.550000	0.000000
0.300000	0.600000	0.000000
0.300000	0.650000	0.000000
0.300000	0.700000	0.000000
0.300000	0.750000	0.000050
0.300000	0.800000	0.008542
0.300000	0.850000	0.004869
0.300000	0.900000	0.003060
0.300000	0.950000	0.003414
0.300000	1.000000	0.003566
0.350000	0.000000	0.000000
0.350000	0.050000	0.000000
0.350000	0.100000	0.000000
0.350000	0.150000	0.000000
0.350000	0.200000	0.000000
0.350000	0.250000	0.000000
0.350000	0.300000	0.000000
0.350000	0.350000	0.000000
0.350000	0.400000	0.000000
0.350000	0.450000	0.000000
0.350000	0.500000	0.000000
0.350000	0.550000	0.000000
0.350000	0.600000	0.000000
0.350000	0.650000	0.000000
0.350000	0.700000	0.000000
0.350000	0.750000	0.000336
0.350000	0.800000	0.008448
0.350000	0.850000	0.004503
0.350000	0.900000	0.003349
0.350000	0.950000	0.003510
0.350000	1.000000	0.003851
0.400000	0.000000	0.000000
0.400000	0.050000	0.000000
0.400000	0.100000	0.000000
0.400000	0.150000	0.000000
0.400000	0.200000	0.000000
0.400000	0.250000	0.000000
0.400000	0.300000	0.000000
0.400000	0.350000	0.000000
0.400000	0.400000	0.000000
0.400000	0.450000	0.000000
0.400000	0.500000	0.000000
0.400000	0.550000	0.000000
0.400000	0.600000	0.000000
0.400000	0.650000	0.000000
0.400000	0.700000	0.000000
0.400000	0.750000	0.000439
0.400000	0.800000	0.008245
0.400000	0.850000	0.004198
0.400000	0.900000	0.003334
0.400000	0.950000	0.003600
0.400000	1.000000	0.003503
0.450000	0.000000	0.000000
0.450000	0.050000	0.000000
0.450000	0.100000	0.000000
0.450000	0.150000	0.000000
0.450000	0.200000	0.000000
0.450000	0.250000	0.000000
0.450000	0.300000	0.000000
0.450000	0.350000	0.000000
0.450000	0.400000	0.000000
0.450000	0.450000	0.000000
0.450000	0.500000	0.000000
0.450000	0.550000	0.000000
0.450000	0.600000	0.000000
0.450000	0.650000	0.000000
0.450000	0.700000	0.000000
0.450000	0.750000	0.000164
0.450000	0.800000	0.008401
0.450000	0.850000	0.003773
0.450000	0.900000	0.003322
0.450000	0.950000	0.003510
0.450000	1.000000	0.003422
0.500000	0.000000	0.000000
0.500000	0.050000	0.000000
0.500000	0.100000	0.000000
0.500000	0.150000	0.000000
0.500000	0.200000	0.000000
