a	b	RFitCoV
0.000000	0.000000	1.470905
0.000000	0.050000	1.469851
0.000000	0.100000	1.462023
0.000000	0.150000	1.464876
0.000000	0.200000	1.476840
0.000000	0.250000	1.483841
0.000000	0.300000	1.485421
0.000000	0.350000	1.478134
0.000000	0.400000	1.489111
0.000000	0.450000	1.483376
0.000000	0.500000	1.476051
0.000000	0.550000	1.475983
0.000000	0.600000	1.480811
0.000000	0.650000	1.473437
0.000000	0.700000	1.477586
0.000000	0.750000	1.470499
0.000000	0.800000	1.459678
0.000000	0.850000	1.396408
0.000000	0.900000	1.350341
0.000000	0.950000	1.261335
0.000000	1.000000	1.508817
0.050000	0.000000	1.470096
0.050000	0.050000	1.474147
0.050000	0.100000	1.465237
0.050000	0.150000	1.476021
0.050000	0.200000	1.476460
0.050000	0.250000	1.476912
0.050000	0.300000	1.486896
0.050000	0.350000	1.487917
0.050000	0.400000	1.490094
0.050000	0.450000	1.476007
0.050000	0.500000	1.473949
0.050000	0.550000	1.474703
0.050000	0.600000	1.470225
0.050000	0.650000	1.473983
0.050000	0.700000	1.468211
0.050000	0.750000	1.467721
0.050000	0.800000	1.451545
0.050000	0.850000	1.396774
0.050000	0.900000	1.313373
0.050000	0.950000	1.367958
0.050000	1.000000	1.497435
0.100000	0.000000	1.466586
0.100000	0.050000	1.469850
0.100000	0.100000	1.476204
0.100000	0.150000	1.472592
0.100000	0.200000	1.485417
0.100000	0.250000	1.479169
0.100000	0.300000	1.484894
0.100000	0.350000	1.483634
0.100000	0.400000	1.489291
0.100000	0.450000	1.478079
0.100000	0.500000	1.470978
0.100000	0.550000	1.476236
0.100000	0.600000	1.468615
0.100000	0.650000	1.472607
0.100000	0.700000	1.480359
0.100000	0.750000	1.485291
0.100000	0.800000	1.450150
0.100000	0.850000	1.382651
0.100000	0.900000	1.344192
0.100000	0.950000	1.561182
0.100000	1.000000	1.496445
0.150000	0.000000	1.465617
0.150000	0.050000	1.471128
0.150000	0.100000	1.485162
0.150000	0.150000	1.473546
0.150000	0.200000	1.486593
0.150000	0.250000	1.470508
0.150000	0.300000	1.478399
0.150000	0.350000	1.479614
0.150000	0.400000	1.480304
0.150000	0.450000	1.468463
0.150000	0.500000	1.477095
0.150000	0.550000	1.475781
0.150000	0.600000	1.481805
0.150000	0.650000	1.470532
0.150000	0.700000	1.471544
0.150000	0.750000	1.477012
0.150000	0.800000	1.439356
0.150000	0.850000	1.394385
0.150000	0.900000	1.304951
0.150000	0.950000	1.560364
0.150000	1.000000	1.502752
