a	b	DFreq	DRel	MRel
0.000000	0.000000	0.000003	0.000002	1.000011
0.000000	0.010000	0.000003	0.000002	1.000011
0.000000	0.020000	0.000003	0.000002	1.000012
0.000000	0.030000	0.000003	0.000002	1.000012
0.000000	0.040000	0.000003	0.000002	1.000013
0.000000	0.050000	0.000003	0.000002	1.000013
0.000000	0.060000	0.000003	0.000002	1.000014
0.000000	0.070000	0.000003	0.000002	1.000014
0.000000	0.080000	0.000004	0.000003	1.000015
0.000000	0.090000	0.000004	0.000003	1.000015
0.000000	0.100000	0.000004	0.000003	1.000016
0.000000	0.110000	0.000004	0.000003	1.000016
0.000000	0.120000	0.000004	0.000003	1.000017
0.000000	0.130000	0.000004	0.000003	1.000018
0.000000	0.140000	0.000004	0.000003	1.000019
0.000000	0.150000	0.000005	0.000003	1.000020
0.000000	0.160000	0.000005	0.000003	1.000020
0.000000	0.170000	0.000005	0.000004	1.000021
0.000000	0.180000	0.000005	0.000004	1.000022
0.000000	0.190000	0.000006	0.000004	1.000024
0.000000	0.200000	0.000006	0.000004	1.000025
0.000000	0.210000	0.000006	0.000004	1.000026
0.000000	0.220000	0.000007	0.000004	1.000027
0.000000	0.230000	0.000007	0.000005	1.000029
0.000000	0.240000	0.000007	0.000005	1.000030
0.000000	0.250000	0.000008	0.000005	1.000032
0.000000	0.260000	0.000008	0.000005	1.000034
0.000000	0.270000	0.000009	0.000006	1.000036
0.000000	0.280000	0.000009	0.000006	1.000038
0.000000	0.290000	0.000010	0.000006	1.000041
0.000000	0.300000	0.000010	0.000007	1.000043
0.000000	0.310000	0.000011	0.000007	1.000046
0.000000	0.320000	0.000012	0.000007	1.000049
0.000000	0.330000	0.000012	0.000008	1.000053
0.000000	0.340000	0.000013	0.000008	1.000056
0.000000	0.350000	0.000014	0.000009	1.000061
0.000000	0.360000	0.000015	0.000009	1.000065
0.000000	0.370000	0.000017	0.000010	1.000070
0.000000	0.380000	0.000018	0.000011	1.000076
0.000000	0.390000	0.000019	0.000012	1.000082
0.000000	0.400000	0.000021	0.000012	1.000089
0.000000	0.410000	0.000023	0.000013	1.000097
0.000000	0.420000	0.000025	0.000014	1.000106
0.000000	0.430000	0.000027	0.000015	1.000116
0.000000	0.440000	0.000030	0.000017	1.000127
0.000000	0.450000	0.000033	0.000018	1.000140
0.000000	0.460000	0.000036	0.000020	1.000155
0.000000	0.470000	0.000040	0.000021	1.000171
0.000000	0.480000	0.000045	0.000023	1.000190
0.000000	0.490000	0.000050	0.000025	1.000212
0.000000	0.500000	0.000055	0.000028	1.000237
0.000000	0.510000	0.000062	0.000031	1.000266
0.000000	0.520000	0.000070	0.000034	1.000299
0.000000	0.530000	0.000079	0.000037	1.000339
0.000000	0.540000	0.000089	0.000041	1.000385
0.000000	0.550000	0.000102	0.000046	1.000439
0.000000	0.560000	0.000117	0.000051	1.000503
0.000000	0.570000	0.000134	0.000057	1.000579
0.000000	0.580000	0.000155	0.000064	1.000669
0.000000	0.590000	0.000179	0.000071	1.000778
0.000000	0.600000	0.000209	0.000080	1.000908
0.000000	0.610000	0.000245	0.000090	1.001064
0.000000	0.620000	0.000287	0.000101	1.001254
0.000000	0.630000	0.000339	0.000113	1.001483
0.000000	0.640000	0.000401	0.000127	1.001761
0.000000	0.650000	0.000476	0.000142	1.002097
0.000000	0.660000	0.000566	0.000157	1.002502
0.000000	0.670000	0.000672	0.000173	1.002985
0.000000	0.680000	0.000796	0.000187	1.003552
0.000000	0.690000	0.000935	0.000199	1.004202
0.000000	0.700000	0.001083	0.000205	1.004911
0.000000	0.710000	0.001226	0.000204	1.005626
0.000000	0.720000	0.001341	0.000193	1.006243
0.000000	0.730000	0.001392	0.000173	1.006599
0.000000	0.740000	0.001340	0.000149	1.006495
0.000000	0.750000	0.001163	0.000127	1.005789
0.000000	0.760000	0.000886	0.000112	1.004539
0.000000	0.770000	0.000582	0.000098	1.003070
0.000000	0.780000	0.000329	0.000078	1.001787
0.000000	0.790000	0.000164	0.000054	1.000911
0.000000	0.800000	0.000074	0.000032	1.000418
0.000000	0.810000	0.000031	0.000017	1.000178
0.000000	0.820000	0.000012	0.000008	1.000072
0.000000	0.830000	0.000005	0.000004	1.000028
0.000000	0.840000	0.000002	0.000002	1.000011
0.000000	0.850000	0.000001	0.000001	1.000004
0.000000	0.860000	0.000000	0.000000	1.000002
0.000000	0.870000	0.000000	0.000000	1.000001
0.000000	0.880000	0.000000	0.000000	1.000000
0.000000	0.890000	0.000000	0.000000	1.000000
0.000000	0.900000	0.000000	0.000000	1.000000
0.000000	0.910000	0.000000	0.000000	1.000000
0.000000	0.920000	0.000000	0.000000	1.000000
0.000000	0.930000	0.000000	0.000000	1.000000
0.000000	0.940000	0.000000	0.000000	1.000000
0.000000	0.950000	0.000000	0.000000	1.000000
0.000000	0.960000	0.000000	0.000000	1.000000
0.000000	0.970000	0.000000	0.000000	1.000000
0.000000	0.980000	0.000000	0.000000	1.000000
0.000000	0.990000	0.000000	0.000000	1.000000
0.000000	1.000000	0.000000	0.000000	1.000000
0.010000	0.000000	0.000003	0.000002	1.000011
0.010000	0.010000	0.000003	0.000002	1.000012
0.010000	0.020000	0.000003	0.000002	1.000012
0.010000	0.030000	0.000003	0.000002	1.000013
0.010000	0.040000	0.000003	0.000002	1.000013
0.010000	0.050000	0.000003	0.000002	1.000014
0.010000	0.060000	0.000003	0.000002	1.000014
0.010000	0.070000	0.000004	0.000003	1.000015
0.010000	0.080000	0.000004	0.000003	1.000015
0.010000	0.090000	0.000004	0.000003	1.000016
0.010000	0.100000	0.000004	0.000003	1.000016
0.010000	0.110000	0.000004	0.000003	1.000017
0.010000	0.120000	0.000004	0.000003	1.000018
0.010000	0.130000	0.000004	0.000003	1.000019
0.010000	0.140000	0.000005	0.000003	1.000019
0.010000	0.150000	0.000005	0.000003	1.000020
0.010000	0.160000	0.000005	0.000004	1.000021
0.010000	0.170000	0.000005	0.000004	1.000022
0.010000	0.180000	0.000006	0.000004	1.000023
0.010000	0.190000	0.000006	0.000004	1.000024
0.010000	0.200000	0.000006	0.000004	1.000026
0.010000	0.210000	0.000006	0.000004	1.000027
0.010000	0.220000	0.000007	0.000005	1.000028
0.010000	0.230000	0.000007	0.000005	1.000030
0.010000	0.240000	0.000008	0.000005	1.000032
0.010000	0.250000	0.000008	0.000005	1.000034
0.010000	0.260000	0.000008	0.000006	1.000035
0.010000	0.270000	0.000009	0.000006	1.000038
0.010000	0.280000	0.000009	0.000006	1.000040
0.010000	0.290000	0.000010	0.000007	1.000042
0.010000	0.300000	0.000011	0.000007	1.000045
0.010000	0.310000	0.000011	0.000007	1.000048
0.010000	0.320000	0.000012	0.000008	1.000052
0.010000	0.330000	0.000013	0.000008	1.000055
0.010000	0.340000	0.000014	0.000009	1.000059
0.010000	0.350000	0.000015	0.000009	1.000064
0.010000	0.360000	0.000016	0.000010	1.000069
0.010000	0.370000	0.000017	0.000011	1.000074
0.010000	0.380000	0.000019	0.000011	1.000080
0.010000	0.390000	0.000020	0.000012	1.000087
0.010000	0.400000	0.000022	0.000013	1.000094
0.010000	0.410000	0.000024	0.000014	1.000103
0.010000	0.420000	0.000026	0.000015	1.000112
0.010000	0.430000	0.000029	0.000016	1.000123
0.010000	0.440000	0.000032	0.000017	1.000134
0.010000	0.450000	0.000035	0.000019	1.000148
0.010000	0.460000	0.000038	0.000021	1.000163
0.010000	0.470000	0.000042	0.000022	1.000181
0.010000	0.480000	0.000047	0.000024	1.000201
0.010000	0.490000	0.000052	0.000027	1.000224
0.010000	0.500000	0.000059	0.000029	1.000251
0.010000	0.510000	0.000066	0.000032	1.000282
0.010000	0.520000	0.000074	0.000035	1.000318
0.010000	0.530000	0.000084	0.000039	1.000360
0.010000	0.540000	0.000095	0.000043	1.000409
0.010000	0.550000	0.000108	0.000048	1.000467
0.010000	0.560000	0.000124	0.000054	1.000535
0.010000	0.570000	0.000143	0.000060	1.000616
0.010000	0.580000	0.000165	0.000067	1.000713
0.010000	0.590000	0.000191	0.000075	1.000828
0.010000	0.600000	0.000222	0.000084	1.000967
0.010000	0.610000	0.000260	0.000094	1.001134
0.010000	0.620000	0.000306	0.000105	1.001335
0.010000	0.630000	0.000361	0.000118	1.001578
0.010000	0.640000	0.000426	0.000132	1.001872
0.010000	0.650000	0.000505	0.000147	1.002226
0.010000	0.660000	0.000599	0.000162	1.002649
0.010000	0.670000	0.000709	0.000177	1.003151
0.010000	0.680000	0.000835	0.000190	1.003735
0.010000	0.690000	0.000974	0.000200	1.004392
0.010000	0.700000	0.001119	0.000204	1.005093
0.010000	0.710000	0.001254	0.000200	1.005772
0.010000	0.720000	0.001350	0.000187	1.006313
0.010000	0.730000	0.001374	0.000166	1.006548
0.010000	0.740000	0.001289	0.000143	1.006298
0.010000	0.750000	0.001088	0.000128	1.005483
0.010000	0.760000	0.000808	0.000238	1.004249
0.010000	0.770000	0.000524	0.000391	1.002922
0.010000	0.780000	0.000299	0.000479	1.001796
0.010000	0.790000	0.000152	0.000473	1.001005
0.010000	0.800000	0.000070	0.000415	1.000531
0.010000	0.810000	0.000030	0.000345	1.000280
0.010000	0.820000	0.000014	0.000283	1.000156
0.010000	0.830000	0.000008	0.000232	1.000096
0.010000	0.840000	0.000005	0.000192	1.000066
0.010000	0.850000	0.000003	0.000160	1.000049
0.010000	0.860000	0.000003	0.000135	1.000039
0.010000	0.870000	0.000002	0.000115	1.000032
0.010000	0.880000	0.000002	0.000099	1.000027
0.010000	0.890000	0.000002	0.000086	1.000023
0.010000	0.900000	0.000001	0.000075	1.000020
0.010000	0.910000	0.000001	0.000066	1.000017
0.010000	0.920000	0.000001	0.000059	1.000015
0.010000	0.930000	0.000001	0.000053	1.000013
0.010000	0.940000	0.000001	0.000047	1.000012
0.010000	0.950000	0.000001	0.000043	1.000011
0.010000	0.960000	0.000001	0.000039	1.000009
0.010000	0.970000	0.000001	0.000035	1.000009
0.010000	0.980000	0.000001	0.000032	1.000008
0.010000	0.990000	0.000000	0.000029	1.000007
0.010000	1.000000	0.000000	0.000027	1.000006
0.020000	0.000000	0.000003	0.000002	1.000012
0.020000	0.010000	0.000003	0.000002	1.000012
0.020000	0.020000	0.000003	0.000002	1.000013
0.020000	0.030000	0.000003	0.000002	1.000013
0.020000	0.040000	0.000003	0.000002	1.000014
0.020000	0.050000	0.000003	0.000002	1.000014
0.020000	0.060000	0.000004	0.000003	1.000015
0.020000	0.070000	0.000004	0.000003	1.000015
0.020000	0.080000	0.000004	0.000003	1.000016
0.020000	0.090000	0.000004	0.000003	1.000016
0.020000	0.100000	0.000004	0.000003	1.000017
0.020000	0.110000	0.000004	0.000003	1.000018
0.020000	0.120000	0.000004	0.000003	1.000019
0.020000	0.130000	0.000005	0.000003	1.000019
0.020000	0.140000	0.000005	0.000003	1.000020
0.020000	0.150000	0.000005	0.000004	1.000021
0.020000	0.160000	0.000005	0.000004	1.000022
0.020000	0.170000	0.000006	0.000004	1.000023
0.020000	0.180000	0.000006	0.000004	1.000024
0.020000	0.190000	0.000006	0.000004	1.000026
0.020000	0.200000	0.000006	0.000004	1.000027
0.020000	0.210000	0.000007	0.000005	1.000028
0.020000	0.220000	0.000007	0.000005	1.000030
0.020000	0.230000	0.000007	0.000005	1.000031
0.020000	0.240000	0.000008	0.000005	1.000033
0.020000	0.250000	0.000008	0.000006	1.000035
0.020000	0.260000	0.000009	0.000006	1.000037
0.020000	0.270000	0.000009	0.000006	1.000039
0.020000	0.280000	0.000010	0.000006	1.000042
0.020000	0.290000	0.000011	0.000007	1.000044
0.020000	0.300000	0.000011	0.000007	1.000047
0.020000	0.310000	0.000012	0.000008	1.000051
0.020000	0.320000	0.000013	0.000008	1.000054
0.020000	0.330000	0.000014	0.000009	1.000058
0.020000	0.340000	0.000015	0.000009	1.000062
