time	N1	N2
0.000000	1.000000	1.000000
0.400000	0.979250	1.006250
0.800000	2.227189	7.079523
1.200000	4.015150	30.628178
1.600000	6.367325	37.238611
2.000000	10.134214	37.542946
2.400000	14.962240	37.569980
2.800000	19.477450	37.588515
3.200000	22.570239	37.607439
3.600000	24.237990	37.627068
4.000000	25.017040	37.647435
4.400000	5.725000	7.559750
4.800000	9.197189	25.074494
5.200000	12.340945	42.967590
5.600000	15.384767	46.411530
6.000000	18.649793	46.622748
6.400000	21.810272	46.678216
6.800000	24.334064	46.727224
7.200000	25.934173	46.776973
7.600000	26.767636	46.828048
8.000000	27.151245	46.880552
8.400000	4.704750	7.816750
8.800000	7.732127	26.747962
9.200000	10.416695	45.793251
9.600000	13.068413	49.360709
10.000000	16.061255	49.573427
10.400000	19.071248	49.629728
10.800000	21.539959	49.680292
11.200000	23.131053	49.731749
11.600000	23.966894	49.784546
12.000000	24.353103	49.838754
12.400000	3.736750	8.333750
12.800000	6.072037	26.732421
13.200000	8.134024	45.237058
13.600000	10.169976	48.722398
14.000000	12.536135	48.940985
14.400000	15.010109	49.011902
14.800000	17.099884	49.078197
15.200000	18.469134	49.145876
15.600000	19.194091	49.215347
16.000000	19.530218	49.286691
16.400000	2.465000	8.048750
16.800000	4.188016	23.241520
17.200000	5.795464	41.314670
17.600000	7.448038	44.792007
18.000000	9.511198	45.023950
18.400000	11.786791	45.112575
18.800000	13.763967	45.197615
19.200000	15.075424	45.284707
19.600000	15.773238	45.374210
20.000000	16.097427	45.466199
20.400000	2.072750	7.968250
20.800000	3.561555	21.684476
21.200000	4.990596	38.713560
21.600000	6.515173	42.053131
22.000000	8.497927	42.289407
22.400000	10.741905	42.389489
22.800000	12.718689	42.486678
23.200000	14.038769	42.586241
23.600000	14.743332	42.688509
24.000000	15.071092	42.793563
24.400000	1.807750	6.960250
24.800000	3.183999	18.223329
25.200000	4.597673	34.007757
25.600000	6.128671	37.274626
26.000000	8.097342	37.513413
26.400000	10.305734	37.619090
26.800000	12.244557	37.722194
27.200000	13.538424	37.827873
27.600000	14.229025	37.936459
28.000000	14.550322	38.048033
28.400000	1.790000	5.942000
28.800000	3.226912	16.194943
29.200000	4.748406	31.552716
29.600000	6.395305	34.763034
30.000000	8.469830	34.996212
30.400000	10.753238	35.099718
30.800000	12.731896	35.201062
31.200000	14.042413	35.305116
31.600000	14.739267	35.412170
32.000000	15.062919	35.522304
32.400000	1.806750	5.664500
32.800000	3.240445	15.685966
33.200000	4.789557	30.732397
33.600000	6.506079	33.933383
34.000000	8.683845	34.161101
34.400000	11.083298	34.257880
34.800000	13.162694	34.352161
35.200000	14.540176	34.448960
35.600000	15.272759	34.548589
36.000000	15.613038	34.651131
36.400000	1.882000	4.970750
36.800000	3.410716	14.725990
37.200000	5.099847	30.007189
37.600000	7.008598	33.245218
38.000000	9.449003	33.461897
38.400000	12.136899	33.546480
38.800000	14.453277	33.628449
39.200000	15.979326	33.712704
39.600000	16.788212	33.799533
40.000000	17.163319	33.889012
40.400000	2.025000	5.152750
40.800000	3.783365	15.231842
41.200000	5.779688	30.840209
41.600000	8.063344	34.137284
42.000000	10.906668	34.357308
42.400000	13.954572	34.440625
42.800000	16.538471	34.520813
43.200000	18.227288	34.603110
43.600000	19.119327	34.687825
44.000000	19.532385	34.775033
44.400000	2.623250	4.845000
44.800000	4.660689	14.946449
45.200000	6.972993	30.325216
45.600000	9.567888	33.595734
46.000000	12.664480	33.810207
46.400000	15.894182	33.888320
46.800000	18.595361	33.963089
47.200000	20.350484	34.039831
47.600000	21.275287	34.118883
48.000000	21.703088	34.200324
48.400000	2.961250	4.740750
48.800000	5.335253	15.175141
49.200000	8.044956	30.811888
49.600000	11.044360	34.136756
50.000000	14.483609	34.349529
50.400000	17.944297	34.423176
50.800000	20.773901	34.493282
51.200000	22.592105	34.565209
51.600000	23.545556	34.639284
52.000000	23.985733	34.715583
52.400000	3.303000	4.858250
52.800000	5.852606	15.772673
53.200000	8.789796	31.896562
53.600000	12.107949	35.251548
54.000000	15.933810	35.464598
54.400000	19.747201	35.536303
54.800000	22.824526	35.604030
55.200000	24.783611	35.673404
55.600000	25.805903	35.744799
56.000000	26.276797	35.818299
56.400000	3.962500	4.702250
56.800000	6.988643	15.920140
57.200000	10.428583	32.413053
57.600000	14.163382	35.836322
58.000000	18.263609	36.046648
58.400000	22.205771	36.111148
58.800000	25.320665	36.171235
59.200000	27.282835	36.232727
59.600000	28.301844	36.295998
60.000000	28.770261	36.361120
60.400000	4.334500	4.774000
60.800000	7.496544	16.841930
61.200000	11.058100	33.359512
61.600000	14.958796	36.761372
62.000000	19.251578	36.967782
62.400000	23.357447	37.029268
62.800000	26.570270	37.086319
63.200000	28.577129	37.144687
63.600000	29.614167	37.204741
64.000000	30.089722	37.266554
64.400000	4.590250	5.190000
64.800000	7.838653	19.113914
65.200000	11.192345	36.687986
65.600000	14.670160	40.146309
66.000000	18.455797	40.354345
66.400000	22.135774	40.412822
66.800000	25.089622	40.466163
67.200000	26.970731	40.520626
67.600000	27.953121	40.576657
68.000000	28.405844	40.634343
68.400000	4.483500	5.458500
68.800000	7.632233	19.991440
69.200000	10.756121	38.111712
69.600000	13.903354	41.747995
70.000000	17.354919	41.965351
70.400000	20.744154	42.024378
70.800000	23.475402	42.077747
71.200000	25.215792	42.132128
71.600000	26.124538	42.188002
72.000000	26.543250	42.245456
72.400000	3.914500	6.384000
72.800000	6.682431	22.505519
73.200000	9.344553	41.334040
73.600000	11.998062	44.979400
74.000000	14.970702	45.199117
74.400000	17.950123	45.263143
74.800000	20.386958	45.322257
75.200000	21.953397	45.382684
75.600000	22.774895	45.444803
76.000000	23.154152	45.508683
76.400000	3.298250	6.636000
76.800000	5.618719	21.351257
77.200000	7.905097	39.927439
77.600000	10.242296	43.567797
78.000000	12.961173	43.793343
78.400000	15.795340	43.866907
78.800000	18.186165	43.936151
79.200000	19.752610	44.007026
79.600000	20.582160	44.079902
80.000000	20.966842	44.154852
80.400000	3.240750	6.565000
80.800000	5.538845	20.532610
81.200000	7.807460	38.683050
81.600000	10.126036	42.311512
82.000000	12.822632	42.543185
82.400000	15.620640	42.622544
82.800000	17.963896	42.697599
83.200000	19.489780	42.774372
83.600000	20.294936	42.853251
84.000000	20.667654	42.934316
84.400000	3.044500	6.263000
84.800000	5.245048	19.463630
85.200000	7.475089	36.473445
85.600000	9.823007	39.878947
86.000000	12.569441	40.101307
86.400000	15.410309	40.181150
86.800000	17.777830	40.257229
87.200000	19.313882	40.335175
87.600000	20.122771	40.415344
88.000000	20.496861	40.497814
88.400000	2.935250	6.081250
88.800000	5.194286	18.835976
89.200000	7.560825	35.804784
89.600000	10.067465	39.203608
90.000000	12.964027	39.426005
90.400000	15.923002	39.505717
90.800000	18.367839	39.581552
91.200000	19.946794	39.659221
91.600000	20.776535	39.739103
92.000000	21.159925	39.821277
92.400000	2.882500	5.768500
92.800000	5.083183	18.222979
93.200000	7.368824	35.429837
93.600000	9.770931	38.979642
94.000000	12.565031	39.208305
94.400000	15.451070	39.288749
94.800000	17.858028	39.365208
95.200000	19.420924	39.443506
95.600000	20.244314	39.524024
96.000000	20.625188	39.606847
96.400000	3.140000	5.647500
96.800000	5.542261	18.262156
97.200000	7.990241	35.570292
97.600000	10.526631	39.065881
98.000000	13.480861	39.291943
98.400000	16.546146	39.369261
98.800000	19.112519	39.442245
99.200000	20.783578	39.516949
99.600000	21.665378	39.593770
100.000000	22.073592	39.672788
100.400000	2.999250	5.544000
100.800000	5.167178	17.676630
101.200000	7.390199	34.910850
101.600000	9.703279	38.447346
102.000000	12.431636	38.673518
102.400000	15.307258	38.750560
102.800000	17.740396	38.823218
103.200000	19.332191	38.897592
103.600000	20.173627	38.974114
104.000000	20.563401	39.052877
104.400000	2.795000	5.694500
