time	N1	N2
0.000000	1.000000	1.000000
1.600000	1.021000	0.997000
3.200000	23.909612	93.671555
4.800000	91.702516	146.727378
6.400000	109.483849	146.733895
8.000000	110.130769	146.740298
9.600000	110.149396	146.746808
11.200000	110.149928	146.753425
12.800000	110.149944	146.760152
14.400000	110.149944	146.766991
16.000000	110.149944	146.773943
17.600000	20.283750	30.241750
19.200000	61.393982	214.242140
20.800000	91.617161	234.572016
22.400000	97.839928	234.580891
24.000000	98.063582	234.589777
25.600000	98.070019	234.598800
27.200000	98.070203	234.607963
28.800000	98.070208	234.617269
30.400000	98.070208	234.626718
32.000000	98.070208	234.636312
33.600000	11.830750	38.066000
35.200000	38.381860	229.175679
36.800000	66.040791	251.440864
38.400000	72.302420	251.462242
40.000000	72.528284	251.483836
41.600000	72.534786	251.505738
43.200000	72.534972	251.527951
44.800000	72.534977	251.550481
46.400000	72.534977	251.573330
48.000000	72.534977	251.596502
49.600000	7.720250	40.232750
51.200000	27.316713	231.721799
52.800000	51.355432	255.159227
54.400000	57.246437	255.190586
56.000000	57.460055	255.222291
57.600000	57.466205	255.254444
59.200000	57.466381	255.287052
60.800000	57.466386	255.320119
62.400000	57.466386	255.353651
64.000000	57.466386	255.387653
65.600000	5.038750	41.358000
67.200000	20.873034	220.817272
68.800000	43.129693	245.567400
70.400000	48.829173	245.608007
72.000000	49.036615	245.649083
73.600000	49.042588	245.690748
75.200000	49.042759	245.733008
76.800000	49.042764	245.775871
78.400000	49.042764	245.819343
80.000000	49.042764	245.863431
81.600000	3.029500	39.551500
83.200000	16.911559	208.228053
84.800000	38.834453	233.729922
86.400000	44.499902	233.780208
88.000000	44.706150	233.831120
89.600000	44.712089	233.882757
91.200000	44.712259	233.935127
92.800000	44.712264	233.988239
94.400000	44.712264	234.042101
96.000000	44.712264	234.096722
97.600000	2.435750	37.432500
99.200000	15.919388	194.604266
100.800000	37.832406	220.381076
102.400000	43.497381	220.440608
104.000000	43.703615	220.500866
105.600000	43.709554	220.561962
107.200000	43.709723	220.623907
108.800000	43.709728	220.686710
110.400000	43.709728	220.750380
112.000000	43.709728	220.814927
113.600000	2.172750	33.470500
115.200000	15.332284	182.467917
116.800000	37.172561	208.066475
118.400000	42.813894	208.128246
120.000000	43.019234	208.190839
121.600000	43.025146	208.254327
123.200000	43.025315	208.318715
124.800000	43.025320	208.384015
126.400000	43.025320	208.450236
128.000000	43.025320	208.517389
129.600000	2.127250	33.442250
131.200000	15.246174	179.639563
132.800000	37.233200	205.691441
134.400000	42.921814	205.753912
136.000000	43.128943	205.817181
137.600000	43.134907	205.881354
139.200000	43.135078	205.946440
140.800000	43.135083	206.012451
142.400000	43.135083	206.079398
144.000000	43.135083	206.147291
145.600000	2.207750	32.597750
147.200000	15.393150	178.108062
148.800000	37.251990	203.506330
150.400000	42.893900	203.570332
152.000000	43.099256	203.634950
153.600000	43.105169	203.700491
155.200000	43.105338	203.766965
156.800000	43.105343	203.834383
158.400000	43.105343	203.902758
