a	b	RFit
0.000000	0.000000	4.256519
0.000000	0.050000	4.375653
0.000000	0.100000	4.429560
0.000000	0.150000	4.239514
0.000000	0.200000	4.434838
0.000000	0.250000	4.211866
0.000000	0.300000	4.199157
0.000000	0.350000	4.089550
0.000000	0.400000	3.866264
0.000000	0.450000	3.687486
0.000000	0.500000	3.734068
0.000000	0.550000	3.623403
0.000000	0.600000	3.581624
0.000000	0.650000	3.346290
0.000000	0.700000	3.259571
0.000000	0.750000	3.164966
0.000000	0.800000	2.633909
0.000000	0.850000	1.910330
0.000000	0.900000	1.638172
0.000000	0.950000	1.323472
0.000000	1.000000	0.741407
0.050000	0.000000	4.297585
0.050000	0.050000	4.197130
0.050000	0.100000	4.454113
0.050000	0.150000	4.328688
0.050000	0.200000	4.123881
0.050000	0.250000	4.336095
0.050000	0.300000	4.270291
0.050000	0.350000	4.020614
0.050000	0.400000	3.857085
0.050000	0.450000	3.863218
0.050000	0.500000	3.790344
0.050000	0.550000	3.806727
0.050000	0.600000	3.625992
0.050000	0.650000	3.325235
0.050000	0.700000	3.229631
0.050000	0.750000	2.939015
0.050000	0.800000	2.485294
0.050000	0.850000	1.976315
0.050000	0.900000	1.597239
0.050000	0.950000	1.376709
0.050000	1.000000	0.750162
0.100000	0.000000	4.459166
0.100000	0.050000	4.269179
0.100000	0.100000	4.061322
0.100000	0.150000	4.178720
0.100000	0.200000	4.167291
0.100000	0.250000	4.314654
0.100000	0.300000	4.071610
0.100000	0.350000	4.096999
0.100000	0.400000	3.943479
0.100000	0.450000	3.864729
0.100000	0.500000	3.914314
0.100000	0.550000	3.731240
0.100000	0.600000	3.606784
0.100000	0.650000	3.302677
0.100000	0.700000	3.142530
0.100000	0.750000	2.925269
0.100000	0.800000	2.450104
0.100000	0.850000	1.943938
0.100000	0.900000	1.638167
0.100000	0.950000	0.842371
0.100000	1.000000	0.755757
0.150000	0.000000	4.396998
0.150000	0.050000	4.289660
0.150000	0.100000	4.152587
0.150000	0.150000	4.216744
0.150000	0.200000	4.288372
0.150000	0.250000	4.317607
0.150000	0.300000	4.047000
0.150000	0.350000	4.088049
0.150000	0.400000	3.937624
0.150000	0.450000	4.043669
0.150000	0.500000	3.695693
0.150000	0.550000	3.618449
0.150000	0.600000	3.613213
0.150000	0.650000	3.389157
0.150000	0.700000	3.074839
0.150000	0.750000	2.940409
0.150000	0.800000	2.664846
0.150000	0.850000	2.004206
0.150000	0.900000	1.591393
0.150000	0.950000	0.827643
0.150000	1.000000	0.754760
0.200000	0.000000	4.218255
0.200000	0.050000	4.246803
0.200000	0.100000	4.119737
0.200000	0.150000	4.259399
0.200000	0.200000	4.248710
0.200000	0.250000	4.367092
0.200000	0.300000	4.026671
0.200000	0.350000	4.080455
0.200000	0.400000	3.956509
0.200000	0.450000	3.867356
0.200000	0.500000	3.857781
0.200000	0.550000	3.645058
0.200000	0.600000	3.523039
0.200000	0.650000	3.339688
0.200000	0.700000	3.107093
0.200000	0.750000	2.958162
0.200000	0.800000	2.521511
0.200000	0.850000	1.917278
0.200000	0.900000	1.656826
0.200000	0.950000	0.827253
0.200000	1.000000	0.749610
0.250000	0.000000	4.199315
0.250000	0.050000	4.243720
0.250000	0.100000	4.272528
0.250000	0.150000	4.248584
0.250000	0.200000	4.298649
0.250000	0.250000	4.214038
0.250000	0.300000	4.045218
0.250000	0.350000	4.141520
0.250000	0.400000	4.000276
0.250000	0.450000	3.952305
0.250000	0.500000	3.748046
0.250000	0.550000	3.538359
0.250000	0.600000	3.544998
0.250000	0.650000	3.285224
0.250000	0.700000	3.199714
0.250000	0.750000	3.057878
0.250000	0.800000	2.523940
0.250000	0.850000	1.985862
0.250000	0.900000	1.544469
0.250000	0.950000	0.827472
0.250000	1.000000	0.749065
0.300000	0.000000	4.323768
0.300000	0.050000	4.109686
0.300000	0.100000	4.234008
0.300000	0.150000	4.107138
0.300000	0.200000	4.098619
0.300000	0.250000	4.087154
0.300000	0.300000	4.137034
0.300000	0.350000	3.947547
0.300000	0.400000	3.859233
0.300000	0.450000	3.787495
0.300000	0.500000	3.906941
0.300000	0.550000	3.639597
0.300000	0.600000	3.518186
0.300000	0.650000	3.146614
0.300000	0.700000	3.154471
0.300000	0.750000	3.095169
0.300000	0.800000	2.398729
0.300000	0.850000	1.895323
0.300000	0.900000	1.583904
0.300000	0.950000	0.830309
0.300000	1.000000	0.745746
0.350000	0.000000	4.175479
0.350000	0.050000	4.255231
0.350000	0.100000	4.095432
0.350000	0.150000	4.097185
0.350000	0.200000	4.239194
0.350000	0.250000	4.183570
0.350000	0.300000	4.183193
0.350000	0.350000	4.131387
0.350000	0.400000	4.089884
0.350000	0.450000	3.739653
0.350000	0.500000	3.853082
0.350000	0.550000	3.634927
0.350000	0.600000	3.563386
0.350000	0.650000	3.472466
0.350000	0.700000	3.170135
0.350000	0.750000	2.988248
0.350000	0.800000	2.437649
0.350000	0.850000	1.828748
0.350000	0.900000	1.347782
0.350000	0.950000	0.823252
0.350000	1.000000	0.752952
0.400000	0.000000	4.430685
0.400000	0.050000	4.191335
0.400000	0.100000	3.981777
0.400000	0.150000	4.204632
0.400000	0.200000	4.138410
0.400000	0.250000	4.010756
0.400000	0.300000	4.030415
0.400000	0.350000	3.968836
0.400000	0.400000	4.052409
0.400000	0.450000	3.838655
0.400000	0.500000	3.670678
0.400000	0.550000	3.714320
0.400000	0.600000	3.587303
0.400000	0.650000	3.294154
0.400000	0.700000	3.025290
0.400000	0.750000	3.085199
0.400000	0.800000	2.353068
0.400000	0.850000	1.894404
0.400000	0.900000	1.395227
0.400000	0.950000	0.810030
0.400000	1.000000	0.752731
0.450000	0.000000	4.296796
0.450000	0.050000	4.321515
0.450000	0.100000	4.227298
0.450000	0.150000	3.966780
0.450000	0.200000	4.160720
0.450000	0.250000	4.112975
0.450000	0.300000	3.980168
0.450000	0.350000	4.106004
0.450000	0.400000	3.905571
0.450000	0.450000	3.774219
0.450000	0.500000	3.770733
0.450000	0.550000	3.623618
0.450000	0.600000	3.405042
0.450000	0.650000	3.275312
0.450000	0.700000	3.404789
0.450000	0.750000	3.032688
0.450000	0.800000	2.343972
0.450000	0.850000	1.824047
0.450000	0.900000	1.479304
0.450000	0.950000	0.829249
0.450000	1.000000	0.743519
0.500000	0.000000	4.285343
0.500000	0.050000	4.058798
0.500000	0.100000	4.171697
0.500000	0.150000	4.206682
0.500000	0.200000	4.136457
0.500000	0.250000	4.127269
0.500000	0.300000	4.051686
0.500000	0.350000	4.004840
