time	N1	N2
0.000000	1.000000	1.000000
0.400000	1.017750	0.998750
0.800000	2.329796	5.352610
1.200000	4.465021	23.254800
1.600000	7.155958	35.616978
2.000000	11.103913	37.471661
2.400000	16.137789	37.728940
2.800000	20.860566	37.869699
3.200000	24.104526	38.020216
3.600000	25.856601	38.192806
4.000000	26.675672	38.391115
4.400000	5.712500	7.743250
4.800000	10.276092	47.548008
5.200000	12.271630	81.027225
5.600000	12.544520	86.537287
6.000000	12.570089	87.055970
6.400000	12.572382	87.107766
6.800000	12.572588	87.119931
7.200000	12.572607	87.129454
7.600000	12.572609	87.139537
8.000000	12.572609	87.150442
8.400000	2.487500	17.453250
8.800000	4.045689	59.735255
9.200000	4.531724	85.112521
9.600000	4.586735	89.084742
10.000000	4.591230	89.654594
10.400000	4.591583	89.948657
10.800000	4.591611	90.235103
11.200000	4.591613	90.532763
11.600000	4.591613	90.840313
12.000000	4.591613	91.154445
12.400000	0.921250	18.396250
12.800000	1.581144	40.996911
13.200000	1.881563	63.355613
13.600000	1.923580	68.582474
14.000000	1.927158	70.214707
14.400000	1.927444	71.597237
14.800000	1.927467	73.025690
15.200000	1.927469	74.511837
15.600000	1.927469	76.042164
16.000000	1.927469	77.599342
16.400000	0.393750	15.664750
16.800000	0.728272	26.648469
17.200000	0.925459	41.887300
17.600000	0.955759	46.614207
18.000000	0.958310	48.864339
18.400000	0.958509	51.032816
18.800000	0.958524	53.325643
19.200000	0.958526	55.743484
19.600000	0.958526	58.266320
20.000000	0.958526	60.868514
20.400000	0.178750	12.005500
20.800000	0.353116	17.392137
21.200000	0.478380	26.679405
21.600000	0.499816	30.422977
22.000000	0.501618	32.667456
22.400000	0.501755	34.958970
22.800000	0.501765	37.435871
23.200000	0.501766	40.100762
23.600000	0.501766	42.940213
24.000000	0.501766	45.933808
24.400000	0.106500	9.314000
24.800000	0.219672	12.674905
25.200000	0.314092	19.225545
25.600000	0.332279	22.316085
26.000000	0.333838	24.291317
26.400000	0.333955	26.349067
26.800000	0.333964	28.607288
27.200000	0.333964	31.075695
27.600000	0.333964	33.750853
28.000000	0.333964	36.622780
28.400000	0.057000	7.140250
28.800000	0.122657	9.127192
29.200000	0.187857	13.308972
29.600000	0.202948	15.737636
30.000000	0.204321	17.406761
30.400000	0.204425	19.174606
30.800000	0.204432	21.139508
31.200000	0.204433	23.316582
31.600000	0.204433	25.711002
32.000000	0.204433	28.322770
32.400000	0.033000	5.555000
32.800000	0.072529	6.882843
33.200000	0.115907	9.617111
33.600000	0.127263	11.470580
34.000000	0.128345	12.843166
34.400000	0.128428	14.319813
34.800000	0.128434	15.977545
35.200000	0.128434	17.833786
35.600000	0.128434	19.899181
36.000000	0.128434	22.180859
36.400000	0.025250	4.479250
36.800000	0.056522	5.486625
37.200000	0.095226	7.574269
37.600000	0.111390	9.134579
38.000000	0.122563	10.288269
38.400000	0.137735	11.529866
38.800000	0.153807	12.932201
39.200000	0.165745	14.513885
39.600000	0.172456	16.288119
40.000000	0.175651	18.265842
40.400000	0.049250	3.850000
40.800000	0.110761	4.974882
41.200000	0.189489	8.012301
41.600000	0.222987	10.086654
42.000000	0.242415	11.164895
42.400000	0.267767	12.235610
42.800000	0.294558	13.441790
43.200000	0.314455	14.807634
43.600000	0.325641	16.347279
44.000000	0.330966	18.072954
44.400000	0.031000	3.482750
44.800000	0.070176	4.344121
45.200000	0.123235	6.408445
45.600000	0.152066	7.967732
46.000000	0.177381	8.928723
46.400000	0.212728	9.922337
46.800000	0.250224	11.047854
47.200000	0.278079	12.326275
47.600000	0.293739	13.772045
48.000000	0.301194	15.398347
48.400000	0.050000	3.144750
48.800000	0.113639	4.086605
49.200000	0.201791	6.863839
49.600000	0.248626	8.914606
50.000000	0.285448	9.862726
50.400000	0.335995	10.762668
50.800000	0.389565	11.777123
51.200000	0.429359	12.931838
51.600000	0.451729	14.241498
52.000000	0.462380	15.719532
52.400000	0.058500	3.163000
52.800000	0.133147	4.172999
53.200000	0.238557	7.263868
53.600000	0.302644	9.515557
54.000000	0.363594	10.491993
54.400000	0.449397	11.392493
54.800000	0.540456	12.404846
55.200000	0.608104	13.556824
55.600000	0.646134	14.863165
56.000000	0.664240	16.337180
56.400000	0.146250	3.230500
56.800000	0.331460	5.017885
57.200000	0.584983	11.788540
57.600000	0.726682	16.235333
58.000000	0.849272	17.446202
58.400000	1.016789	18.315247
58.800000	1.191548	19.267050
59.200000	1.320040	20.347381
59.600000	1.391899	21.571244
60.000000	1.426029	22.950822
60.400000	0.260750	4.268500
60.800000	0.576620	7.829133
61.200000	0.944152	20.051320
61.600000	1.076181	26.438205
62.000000	1.132386	27.916368
62.400000	1.199057	28.908088
62.800000	1.267732	29.979775
63.200000	1.318054	31.186548
63.600000	1.346154	32.542170
64.000000	1.359492	34.055977
64.400000	0.313250	6.552750
64.800000	0.661925	12.359664
65.200000	0.983362	27.067982
65.600000	1.058648	32.855169
66.000000	1.068782	34.454686
66.400000	1.074327	35.756903
66.800000	1.079720	37.177531
67.200000	1.083702	38.755603
67.600000	1.085940	40.498822
68.000000	1.087005	42.409540
68.400000	0.227000	8.325750
68.800000	0.469873	13.522146
69.200000	0.675544	25.094356
69.600000	0.716578	29.511839
70.000000	0.720130	31.284810
70.400000	0.720397	32.966011
70.800000	0.720417	34.807419
71.200000	0.720419	36.831676
71.600000	0.720419	39.040233
72.000000	0.720419	41.428546
72.400000	0.149500	8.405250
72.800000	0.312369	12.237317
73.200000	0.455641	20.693539
73.600000	0.485263	24.338605
74.000000	0.487876	26.172700
74.400000	0.488073	28.004553
74.800000	0.488088	30.018012
75.200000	0.488089	32.230575
75.600000	0.488089	34.642901
76.000000	0.488089	37.249524
76.400000	0.098750	7.380000
76.800000	0.210930	10.072460
77.200000	0.319745	16.277102
77.600000	0.344819	19.369300
78.000000	0.347112	21.080226
78.400000	0.347286	22.822283
78.800000	0.347299	24.750525
79.200000	0.347300	26.883519
79.600000	0.347300	29.225754
80.000000	0.347300	31.776239
80.400000	0.060750	6.139750
80.800000	0.131711	7.958873
81.200000	0.205461	12.051431
81.600000	0.224126	14.449565
82.000000	0.225896	15.951459
82.400000	0.226032	17.519338
82.800000	0.226042	19.269813
83.200000	0.226043	21.221937
83.600000	0.226043	23.384551
84.000000	0.226043	25.762208
84.400000	0.049250	5.222250
84.800000	0.108429	6.679901
85.200000	0.174690	10.053323
85.600000	0.195297	12.170637
86.000000	0.201749	13.495626
86.400000	0.207331	14.880114
86.800000	0.211689	16.433591
87.200000	0.214257	18.176269
87.600000	0.215512	20.119597
88.000000	0.216069	22.271755
88.400000	0.063500	4.338500
