time	N1	N2
0.000000	1.000000	1.000000
0.400000	0.986000	1.013500
0.800000	2.257426	5.228801
1.200000	4.314974	23.167492
1.600000	6.822322	36.061637
2.000000	10.428462	38.032791
2.400000	14.997401	38.307715
2.800000	19.257052	38.458742
3.200000	22.168267	38.620397
3.600000	23.736043	38.805855
4.000000	24.467925	39.019070
4.400000	4.716000	8.364000
4.800000	8.310766	37.124489
5.200000	10.481885	66.595723
5.600000	11.419743	73.969812
6.000000	12.144977	74.909355
6.400000	12.773835	75.163352
6.800000	13.233869	75.377260
7.200000	13.508302	75.607035
7.600000	13.646571	75.857821
8.000000	13.709222	76.130133
8.400000	2.515250	15.143750
8.800000	4.081156	47.152947
9.200000	4.757165	72.122757
9.600000	4.938169	77.704318
10.000000	5.054672	78.607107
10.400000	5.171449	79.076846
10.800000	5.269641	79.545824
11.200000	5.333574	80.047753
11.600000	5.367275	80.583571
12.000000	5.382865	81.150813
12.400000	1.051250	15.886000
12.800000	1.778295	36.155147
13.200000	2.161453	56.342739
13.600000	2.270615	61.722368
14.000000	2.349991	63.209107
14.400000	2.442508	64.383713
14.800000	2.527310	65.607985
15.200000	2.584868	66.906315
15.600000	2.615769	68.273594
16.000000	2.630176	69.700455
16.400000	0.480750	13.858500
16.800000	0.857476	24.568545
17.200000	1.116654	38.719218
17.600000	1.208813	43.464238
18.000000	1.285189	45.335227
18.400000	1.373541	47.031921
18.800000	1.452172	48.833667
19.200000	1.504314	50.757161
19.600000	1.531945	52.794668
20.000000	1.544747	54.933466
20.400000	0.230000	10.527000
20.800000	0.441255	16.106440
21.200000	0.619264	25.121880
21.600000	0.694089	28.891730
22.000000	0.762238	30.766435
22.400000	0.845293	32.585507
22.800000	0.922264	34.552706
23.200000	0.974649	36.682871
23.600000	1.002787	38.971930
24.000000	1.015905	41.410469
24.400000	0.141000	8.278750
24.800000	0.282104	11.694215
25.200000	0.419504	17.811856
25.600000	0.488579	20.870513
26.000000	0.556272	22.564323
26.400000	0.639288	24.251469
26.800000	0.716256	26.097734
27.200000	0.768641	28.119709
27.600000	0.796779	30.318864
28.000000	0.809897	32.691994
28.400000	0.105000	6.680000
28.800000	0.215252	9.197518
29.200000	0.331616	13.870862
29.600000	0.399940	16.412983
30.000000	0.473972	17.885110
30.400000	0.567018	19.370486
30.800000	0.654693	21.010847
31.200000	0.715036	22.824341
31.600000	0.747648	24.816761
32.000000	0.762896	26.990117
32.400000	0.093750	5.164000
32.800000	0.190720	6.929507
33.200000	0.291080	10.247579
33.600000	0.351121	12.273505
34.000000	0.414813	13.508721
34.400000	0.492752	14.771018
34.800000	0.564361	16.177672
35.200000	0.612766	17.747510
35.600000	0.638667	19.489850
36.000000	0.650720	21.411290
36.400000	0.059250	4.287750
36.800000	0.128340	5.556476
37.200000	0.213487	8.141879
37.600000	0.274381	9.892266
38.000000	0.344559	10.977047
38.400000	0.432537	12.088663
38.800000	0.514855	13.333609
39.200000	0.571218	14.730808
39.600000	0.601593	16.291106
40.000000	0.615776	18.023370
40.400000	0.079250	3.668750
40.800000	0.166102	4.882828
41.200000	0.266415	7.395439
41.600000	0.333201	9.037292
42.000000	0.405673	9.988131
42.400000	0.494648	10.950703
42.800000	0.577394	12.032880
43.200000	0.633937	13.254319
43.600000	0.664386	14.627039
44.000000	0.678600	16.161698
44.400000	0.084000	3.335750
44.800000	0.176920	4.554504
45.200000	0.285442	7.103761
45.600000	0.362954	8.737536
46.000000	0.451835	9.627981
46.400000	0.560016	10.515696
46.800000	0.658849	11.514347
47.200000	0.725518	12.643956
