time	N1	N2
0.000000	1.000000	1.000000
0.400000	1.000500	0.986250
0.800000	2.268688	7.270359
1.200000	4.052331	30.770137
1.600000	6.378261	37.288659
2.000000	10.086292	37.588680
2.400000	14.804905	37.614798
2.800000	19.185073	37.632487
3.200000	22.169704	37.650536
3.600000	23.774576	37.669258
4.000000	24.523261	37.688685
4.400000	5.073500	8.042750
4.800000	8.661606	61.097719
5.200000	9.526558	87.142858
5.600000	9.600560	88.850593
6.000000	9.631036	88.923105
6.400000	9.656487	88.930866
6.800000	9.674457	88.936224
7.200000	9.684844	88.941634
7.600000	9.689985	88.947202
8.000000	9.692295	88.952933
8.400000	1.930500	17.830750
8.800000	2.974829	62.869121
9.200000	3.178986	82.477182
9.600000	3.190662	84.090857
10.000000	3.191132	84.247157
10.400000	3.191151	84.344048
10.800000	3.191152	84.440546
11.200000	3.191152	84.539087
11.600000	3.191152	84.639771
12.000000	3.191152	84.742599
12.400000	0.610000	16.744750
12.800000	1.044013	35.288802
13.200000	1.195877	51.816673
13.600000	1.206303	53.651839
14.000000	1.206742	54.033932
14.400000	1.206760	54.360177
14.800000	1.206761	54.691311
15.200000	1.206761	55.029921
15.600000	1.206761	55.376127
16.000000	1.206761	55.729929
16.400000	0.215500	10.762250
16.800000	0.416178	17.249795
17.200000	0.514957	26.968441
17.600000	0.521965	28.243451
18.000000	0.522222	28.604657
18.400000	0.522232	28.940319
18.800000	0.522232	29.284327
19.200000	0.522232	29.638052
19.600000	0.522232	30.001685
20.000000	0.522232	30.375369
20.400000	0.120500	6.483500
20.800000	0.253389	9.401709
21.200000	0.342173	16.231729
21.600000	0.351679	17.341893
22.000000	0.355308	17.605326
22.400000	0.360346	17.845033
22.800000	0.365702	18.091461
23.200000	0.369681	18.345786
23.600000	0.371918	18.608228
24.000000	0.372983	18.878978
24.400000	0.074250	3.977500
24.800000	0.163095	5.360543
25.200000	0.241578	9.843529
25.600000	0.260819	10.825864
26.000000	0.281283	11.011817
26.400000	0.311468	11.171875
26.800000	0.343599	11.336474
27.200000	0.367474	11.506757
27.600000	0.380897	11.682921
28.000000	0.387287	11.865139
28.400000	0.054000	2.843750
28.800000	0.120909	3.653637
29.200000	0.195718	6.623600
29.600000	0.243639	7.422403
30.000000	0.319195	7.564460
30.400000	0.430269	7.683270
30.800000	0.547074	7.805432
31.200000	0.633204	7.931940
31.600000	0.681437	8.062961
32.000000	0.704360	8.198635
32.400000	0.185500	2.187500
32.800000	0.425617	3.588012
33.200000	0.774567	10.252245
33.600000	1.186370	12.403205
34.000000	1.884701	12.577651
34.400000	2.871378	12.667697
34.800000	3.874239	12.758051
35.200000	4.598516	12.851580
